Результаты компрессии HSI по методам и коэффициенту sc
Параметры: -s 760 -l 480 -b 0, NT/ST: --me 0.8 --ae 0.2, OT/AT: --me 1.6 --ae 0.4
Сортировка: по возрастанию внутренних эталонов

NT (прогонов: 635, +S0):
  sc         Главных    Внутр.
  1.016           85       724
  1.018           85       724
  1.019           85       724
  1.020           85       724
  1.025           85       724
  1.040           85       724
  1.041           85       724
  1.046           85       724
  1.047           85       724
  1.098           86       724
  1.099           86       724
  1.11            86       724
  1.021           85       725
  1.022           85       725
  1.023           85       725
  1.024           85       725
  1.048           85       725
  1.054           85       725
  1.055           85       725
  1.056           85       725
  1.057           85       725
  1.058           85       725
  1.059           85       725
  1.060           85       725
  1.061           85       725
  1.063           85       725
  1.064           85       725
  1.065           85       725
  1.066           85       725
  1.095           86       725
  1.096           86       725
  1.097           86       725
  1.10            86       725
  1.100           86       725
  1.049           85       726
  1.050           85       726
  1.051           85       726
  1.052           85       726
  1.053           85       726
  1.067           85       726
  1.062           85       727
  1.12            86       727
  ------------------------------
  -S0             85       724
  2.0             95       881


AT (прогонов: 144, +S0):
  sc         Главных    Внутр.
  ------------------------------
  1.052           65       625
  1.0520          65       625
  1.0521          65       625
  1.0522          65       625
  1.0523          65       625
  1.0524          65       625
  1.0525          65       625
  1.0526          65       625
  1.0527          65       625
  1.0528          65       625
  1.0529          65       625
  1.053           65       625
  1.0530          65       625
  1.0531          65       625
  1.0532          65       625
  1.0533          65       625
  1.0534          65       625
  1.0535          65       625
  1.0536          65       625
  1.0537          65       625
  1.065           65       625
  1.0650          65       625
  1.0651          65       625
  1.0652          65       625
  1.0653          65       625
  1.0654          65       625
  1.0655          65       625
  1.0656          65       625
  1.0657          65       625
  1.0658          65       625
  1.0659          65       625
  1.066           65       625
  1.0660          65       625
  1.0661          65       625
  1.067           65       625
  1.022           65       626
  1.023           65       626
  1.024           65       626
  1.025           65       626
  1.0538          65       626
  1.0539          65       626
  1.064           65       626
  1.068           65       626
  1.001           65       627
  1.002           65       627
  1.003           65       627
  1.004           65       627
  1.005           65       627
  1.006           65       627
  1.007           65       627
  1.008           65       627
  1.009           65       627
  1.010           65       627
  1.011           65       627
  1.012           65       627
  1.013           65       627
  1.014           65       627
  1.015           65       627
  1.016           65       627
  1.017           65       627
  1.018           65       627
  1.019           65       627
  1.020           65       627
  1.021           65       627
  1.026           65       627
  1.054           65       627
  1.055           65       627
  1.056           65       627
  1.057           65       627
  1.058           65       627
  1.059           65       627
  1.060           65       627
  1.061           65       627
  1.062           65       627
  1.063           65       627
  1.069           65       627
  1.070           65       627
  1.073           65       627
  1.027           65       628
  1.028           65       628
  1.029           65       628
  1.030           65       628
  1.031           65       628
  1.032           65       628
  1.036           65       628
  1.037           65       628
  1.038           65       628
  1.039           65       628
  1.040           65       628
  1.046           65       628
  1.047           65       628
  1.048           65       628
  1.049           65       628
  1.050           65       628
  1.051           65       628
  1.071           65       628
  1.072           65       628
  1.033           65       629
  1.034           65       629
  1.035           65       629
  1.041           65       629
  1.042           65       629
  1.043           65       629
  1.044           65       629
  1.045           65       629
  1.074           65       629
  1.075           65       629
  1.076           65       629
  1.077           65       629
  1.084           65       629
  1.085           65       629
  1.086           65       629
  1.078           65       630
  1.079           65       630
  1.080           65       630
  1.081           65       630
  1.082           65       630
  1.083           65       630
  1.087           65       630
  1.088           65       630
  1.089           65       630
  1.090           65       630
  1.091           65       630
  1.092           65       630
  1.093           65       630
  1.094           65       630
  1.095           65       630
  1.098           65       630
  1.099           65       630
  1.096           65       631
  1.097           65       631
  1.10            65       631
  1.100           65       631
  1.11            65       633
  1.19            67       633
  1.20            67       634
  1.12            66       635
  1.15            66       635
  1.14            66       636
  1.16            66       636
  1.17            66       636
  1.18            66       636
  1.13            66       637
  ------------------------------
  -S0             65       627
  2.0             86       760

